invoice_id,merchant,amount,date
INV-0001,Nova Retail,1387,2026-08-02
INV-0002,Orbit Foods,1524,2026-08-03
INV-0003,Lumen Labs,1661,2026-08-04
INV-0004,Vertex Studio,1798,2026-08-05
INV-0005,Aster Health,1935,2026-08-06
INV-0006,Pixel Works,2072,2026-08-07
INV-0007,Northstar Tech,2209,2026-08-08
INV-0008,Bluewave Logistics,2521,2026-08-09
INV-0009,Cedar Market,2483,2026-08-10
INV-0010,Kite Systems,2620,2026-08-11
INV-0011,Nova Retail,2757,2026-08-12
INV-0012,Orbit Foods,2894,2026-08-13
INV-0013,Lumen Labs,3031,2026-08-14
INV-MISSING-14,Vertex Studio,3168,2026-08-15
INV-0015,Aster Health,3305,2026-08-16
INV-0016,Pixel Works,3442,2026-08-17
INV-0017,Northstar Tech,3579,2026-08-18
INV-0018,Bluewave Logistics,3716,2026-08-19
INV-0019,Cedar Market,4028,2026-08-20
INV-0020,Kite Systems,3990,2026-08-21
INV-0021,Nova Retail,4127,2026-08-22
INV-0022,Orbit Foods,4264,2026-08-23
INV-0023,Different Merchant,4401,2026-08-24
INV-0024,Vertex Studio,4538,2026-08-25
INV-0025,Aster Health,4675,2026-08-26
INV-0026,Pixel Works,4812,2026-08-27
INV-0027,Northstar Tech,4949,2026-08-28
INV-0028,Bluewave Logistics,5086,2026-08-01
INV-0029,Cedar Market,5223,2026-08-02
INV-0030,Kite Systems,5360,2026-08-03
INV-0031,Nova Retail,5672,2026-08-04
INV-0032,Orbit Foods,5634,2026-08-05
INV-0033,Lumen Labs,5771,2026-08-06
INV-0034,Vertex Studio,5908,2026-08-07
INV-0035,Aster Health,6045,2026-08-08
INV-0036,Pixel Works,6182,2026-08-09
INV-0037,Northstar Tech,6319,2026-08-10
INV-MISSING-38,Bluewave Logistics,6456,2026-08-11
INV-0039,Cedar Market,6593,2026-08-12
INV-0040,Kite Systems,6730,2026-08-13
INV-0041,Nova Retail,6867,2026-08-14
INV-0042,Orbit Foods,7004,2026-08-15
INV-0043,Lumen Labs,7141,2026-08-16
INV-0044,Vertex Studio,7453,2026-08-17
INV-0045,Aster Health,7415,2026-08-18
INV-0046,Pixel Works,7552,2026-08-19
INV-0047,Northstar Tech,7689,2026-08-20
INV-0048,Bluewave Logistics,7826,2026-08-21
INV-0049,Cedar Market,7963,2026-08-22
INV-0050,Kite Systems,8100,2026-08-23
INV-0051,Nova Retail,8237,2026-08-24
INV-0052,Orbit Foods,8374,2026-08-25
INV-0053,Lumen Labs,8511,2026-08-26
INV-0054,Vertex Studio,8648,2026-08-27
INV-0055,Aster Health,8785,2026-08-28
INV-MISSING-56,Pixel Works,8922,2026-08-01
INV-0057,Northstar Tech,9059,2026-08-02
INV-0058,Bluewave Logistics,9196,2026-08-03
INV-0059,Cedar Market,9333,2026-08-04
INV-0060,Kite Systems,9470,2026-08-05
INV-0061,Nova Retail,9607,2026-08-06
INV-0062,Orbit Foods,9744,2026-08-07
INV-0063,Lumen Labs,10056,2026-08-08
INV-0064,Vertex Studio,10018,2026-08-09
INV-0065,Aster Health,10155,2026-08-10
INV-0066,Pixel Works,10292,2026-08-11
INV-0067,Northstar Tech,10429,2026-08-12
INV-0068,Bluewave Logistics,10566,2026-08-13
INV-0069,Cedar Market,10703,2026-08-14
INV-0070,Kite Systems,10840,2026-08-15
INV-0071,Nova Retail,10977,2026-08-16
INV-0072,Different Merchant,11114,2026-08-17
INV-0073,Lumen Labs,11251,2026-08-18
INV-0074,Vertex Studio,11388,2026-08-19
INV-0075,Aster Health,11525,2026-08-20
INV-0076,Pixel Works,11662,2026-08-21
INV-0077,Northstar Tech,11974,2026-08-22
INV-0078,Bluewave Logistics,11936,2026-08-23
INV-0079,Cedar Market,12073,2026-08-24
INV-0080,Kite Systems,12210,2026-08-25
INV-0081,Nova Retail,12347,2026-08-26
INV-0082,Orbit Foods,12484,2026-08-27
INV-0083,Lumen Labs,12621,2026-08-28
INV-MISSING-84,Vertex Studio,12758,2026-08-01
INV-0085,Aster Health,12895,2026-08-02
INV-0086,Pixel Works,13032,2026-08-03
INV-0087,Northstar Tech,13169,2026-08-04
INV-0088,Bluewave Logistics,13306,2026-08-05
INV-0089,Cedar Market,13443,2026-08-06
INV-0090,Kite Systems,13580,2026-08-07
INV-0091,Nova Retail,13892,2026-08-08
INV-0092,Orbit Foods,13854,2026-08-09
INV-0093,Lumen Labs,13991,2026-08-10
INV-0094,Vertex Studio,14128,2026-08-11
INV-0095,Aster Health,14265,2026-08-12
INV-0096,Pixel Works,14402,2026-08-13
INV-0097,Northstar Tech,14539,2026-08-14
INV-0098,Bluewave Logistics,14676,2026-08-15
INV-0099,Cedar Market,14813,2026-08-16
INV-0100,Kite Systems,14950,2026-08-17
