transaction_id,invoice_id,merchant,amount,date,status
PAY-0001,INV-0001,Nova Retail,1387,2026-08-02,settled
PAY-0002,INV-0002,Orbit Foods,1524,2026-08-03,settled
PAY-0003,INV-0003,Lumen Labs,1661,2026-08-04,settled
PAY-0004,INV-0004,Vertex Studio,1798,2026-08-05,settled
PAY-0005,INV-0005,Aster Health,1935,2026-08-06,settled
PAY-0006,INV-0006,Pixel Works,2072,2026-08-07,settled
PAY-0007,INV-0007,Northstar Tech,2209,2026-08-08,settled
PAY-0008,INV-0008,Bluewave Logistics,2346,2026-08-09,settled
PAY-0009,INV-0009,Cedar Market,2483,2026-08-10,settled
PAY-0010,INV-0010,Kite Systems,2620,2026-08-11,settled
PAY-0011,INV-0011,Nova Retail,2757,2026-08-12,settled
PAY-0012,INV-0012,Orbit Foods,2894,2026-08-13,settled
PAY-0013,INV-0013,Lumen Labs,3031,2026-08-14,settled
PAY-0014,INV-0014,Vertex Studio,3168,2026-08-15,settled
PAY-0015,INV-0015,Aster Health,3305,2026-08-16,settled
PAY-0016,INV-0016,Pixel Works,3442,2026-08-17,settled
PAY-0017,INV-0017,Northstar Tech,3579,2026-08-18,settled
PAY-0018,INV-0018,Bluewave Logistics,3716,2026-08-19,settled
PAY-0019,INV-0019,Cedar Market,3853,2026-08-20,settled
PAY-0020,INV-0020,Kite Systems,3990,2026-08-21,settled
PAY-0021,INV-0021,Nova Retail,4127,2026-08-22,settled
PAY-0022,INV-0022,Orbit Foods,4264,2026-08-23,settled
PAY-0023,INV-0023,Lumen Labs,4401,2026-08-24,settled
PAY-0024,INV-0024,Vertex Studio,4538,2026-08-25,settled
PAY-0025,INV-0025,Aster Health,4675,2026-08-26,settled
PAY-0026,INV-0026,Pixel Works,4812,2026-08-27,settled
PAY-0027,INV-0027,Northstar Tech,4949,2026-08-28,settled
PAY-0028,INV-0028,Bluewave Logistics,5086,2026-08-01,settled
PAY-0029,INV-0029,Cedar Market,5223,2026-08-02,settled
PAY-0030,INV-0030,Kite Systems,5360,2026-08-03,settled
PAY-0031,INV-0031,Nova Retail,5497,2026-08-04,settled
PAY-0032,INV-0032,Orbit Foods,5634,2026-08-05,settled
